type,price,size,order_value,portfolio_value,commission,pnl
buy,5.65,17681,99897.65000000001,100000.0,0.0,0.0
buy,5.65,18,101.7,98584.08,0.0,0.0
sell,8.61,-17699,99999.35,152389.03999999998,0.0,52389.039999999986
buy,8.61,17681,152233.41,153980.32999999996,0.0,0.0
buy,8.7,17,147.89999999999998,161590.47,0.0,0.0
sell,10.43,-17698,152381.31,184597.86999999997,0.0,32208.829999999998
buy,10.65,17315,184404.75,180788.56999999995,0.0,0.0
buy,10.43,18,187.74,180788.56999999998,0.0,0.0
sell,14.57,-17333,184592.49,252547.18999999997,0.0,67949.32
buy,14.78,17070,252294.59999999998,248962.49,0.0,0.0
buy,14.57,17,247.69,248962.49,0.0,0.0
sell,14.57,-17087,252542.28999999998,248962.49,0.0,-3584.6999999999757
buy,14.57,17070,248709.9,248962.49,0.0,0.0
buy,15.0,16,240.0,248955.61000000002,0.0,0.0
sell,15.22,-17086,248949.9,260061.50999999998,0.0,11099.020000000004
buy,15.22,17069,259790.18000000002,263645.99999999994,0.0,0.0
buy,15.22,17,258.74,260061.50999999998,0.0,0.0
sell,15.870000000000001,-17086,260048.92,271167.41,0.0,11105.899999999976
buy,15.869999999999997,17069,270885.02999999997,271167.41,0.0,0.0
buy,15.649999999999999,18,281.7,267412.23,0.0,0.0
sell,16.96,-17087,271166.73,289796.2,0.0,18628.790000000048
buy,16.74,17294,289501.56,278555.10000000003,0.0,0.0
buy,16.09,18,289.62,293616.54000000004,0.0,0.0
sell,16.96,-17312,289791.18,293616.54000000004,0.0,3820.3400000000274
buy,17.39,16867,293317.13,293616.54000000004,0.0,0.0
sell,18.5,-16867,293317.13,312338.91000000003,0.0,18722.36999999999
buy,18.75,16641,312018.75,312338.91000000003,0.0,0.0
buy,18.25,17,310.25,316511.91000000003,0.0,0.0
sell,19.0,-16658,312329.0,316511.91000000003,0.0,4173.000000000001
buy,20.25,15614,316183.5,308704.91000000003,0.0,0.0
buy,19.75,16,316.0,304797.41000000003,0.0,0.0
sell,19.0,-15630,316499.5,296982.41000000003,0.0,-19529.50000000002
buy,18.5,16037,296684.5,288963.91000000003,0.0,0.0
buy,18.0,16,288.0,280937.41000000003,0.0,0.0
sell,18.75,-16053,296972.5,301003.66000000003,0.0,4021.2500000000146
buy,18.75,16037,300693.75,301003.66000000003,0.0,0.0
buy,18.5,16,296.0,301007.66000000003,0.0,0.0
sell,20.5,-16053,300989.75,329100.41000000003,0.0,28096.749999999978
buy,20.5,16037,328758.5,341128.16000000003,0.0,0.0
sell,21.25,-16037,328758.5,341128.16000000003,0.0,12027.75
buy,22.75,14979,340772.25,337383.41000000003,0.0,0.0
buy,21.5,16,344.0,311158.16000000003,0.0,0.0
sell,19.75,-14995,341116.25,296163.16000000003,0.0,-44965.00000000001
buy,19.75,14980,295855.0,299908.16000000003,0.0,0.0
buy,19.75,15,296.25,288665.66000000003,0.0,0.0
sell,19.5,-14995,296151.25,292414.41000000003,0.0,-3748.75
buy,19.25,15175,292118.75,303795.66000000003,0.0,0.0
